ES25 呼吸系统感染／炎症，年龄＞17岁，不伴并发症或合并症
FK39 心脏除颤器植入或更新
FL19 经皮心脏消融术伴房颤和／或房扑
FL29 经皮心脏消融术除房扑、房颤外其他心律失常
FM19 经皮冠状动脉支架植入
FM29 其他经皮心血管治疗
FM39 经皮心导管检查操作
FN11 外周动脉经皮血管内检查和／或治疗，伴严重并发症或合并症
FN13 外周动脉经皮血管内检查和／或治疗，伴并发症或合并症
FN15 外周动脉经皮血管内检查和／或治疗，不伴并发症或合并症
FN29 外周静脉经皮血管内检查和／或治疗
FR11 心力衰竭、休克，非5天内死亡或转院，伴严重并发症或合并症
FR13 心力衰竭、休克，非5天内死亡或转院，伴并发症或合并症
FR15 心力衰竭、休克，非5天内死亡或转院，不伴并发症或合并症
FR17 心力衰竭、休克，5天内死亡或转院
FR21 急性心肌梗死，伴严重并发症或合并症
FR23 急性心肌梗死，伴并发症或合并症
FR25 急性心肌梗死，不伴并发症或合并症
FR31 心绞痛，非5天内死亡或转院，伴严重并发症或合并症
FR33 心绞痛，非5天内死亡或转院，伴并发症或合并症
FR37 心绞痛，5天内死亡或转院
FR41 冠状动脉粥样硬化／血栓／闭塞，非5天内死亡或转院，伴严重并发症或合并症
FR43 冠状动脉粥样硬化／血栓／闭塞，非5天内死亡或转院，伴并发症或合并症
FR45 冠状动脉粥样硬化／血栓／闭塞，非5天内死亡或转院，不伴并发症或合并症
FR47 冠状动脉粥样硬化／血栓／闭塞，5天内死亡或转院
FS19 循环系统肿瘤
FT10 心肌病，年龄≤17岁
FT11 心肌病，年龄＞17岁，伴严重并发症或合并症
FT13 心肌病，年龄＞17岁，伴并发症或合并症
FT15 心肌病，年龄＞17岁，不伴并发症或合并症
FT21 感染性心内膜炎，伴严重并发症或合并症
FT23 感染性心内膜炎，伴并发症或合并症
FT25 感染性心内膜炎，不伴并发症或合并症
FT30 瓣膜疾患，年龄≤17岁
FT31 瓣膜疾患，年龄＞17岁，伴严重并发症或合并症
FT33 瓣膜疾患，年龄＞17岁，伴并发症或合并症
FT35 瓣膜疾患，年龄＞17岁，不伴并发症或合并症
FU11 严重心律失常及心脏停搏，非5天内死亡或转院，伴严重并发症或合并症
FU13 严重心律失常及心脏停搏，非5天内死亡或转院，伴并发症或合并症
FU15 严重心律失常及心脏停搏，非5天内死亡或转院，不伴并发症或合并症
FU17 严重心律失常及心脏停搏，5天内死亡或转院
FU21 心律失常及传导障碍，非5天内死亡或转院，伴严重并发症或合并症
FU23 心律失常及传导障碍，非5天内死亡或转院，伴并发症或合并症
FU25 心律失常及传导障碍，非5天内死亡或转院，不伴并发症或合并症
FU27 心律失常及传导障碍，5天内死亡或转院
FV11 先天性心脏病，伴严重并发症或合并症
FV13 先天性心脏病，伴并发症或合并症
FV15 先天性心脏病，不伴并发症或合并症
FV33 晕厥及／或虚脱，伴并发症或合并症
FV35 晕厥及／或虚脱，不伴并发症或合并症
FV49 胸痛
FW11 动脉疾患，非5天内死亡或转院，伴严重并发症或合并症
FW13 动脉疾患，非5天内死亡或转院，伴并发症或合并症
FW15 动脉疾患，非5天内死亡或转院，不伴并发症或合并症
FW17 动脉疾患，5天内死亡或转院
FW21 静脉疾患，非5天内死亡或转院，伴严重并发症或合并症
FW23 静脉疾患，非5天内死亡或转院，伴并发症或合并症
FW25 静脉疾患，非5天内死亡或转院，不伴并发症或合并症
FW27 静脉疾患，5天内死亡或转院
FZ11 其他循环系统疾患，非5天内死亡或转院，伴严重并发症或合并症
FZ13 其他循环系统疾患，非5天内死亡或转院，伴并发症或合并症
FZ15 其他循环系统疾患，非5天内死亡或转院，不伴并发症或合并症
FZ17 其他循环系统疾患，5天内死亡或转院
GB11 食管、胃、十二指肠大手术，非5天内死亡或转院，伴严重并发症或合并症
GB13 食管、胃、十二指肠大手术，非5天内死亡或转院，伴并发症或合并症
GB15 食管、胃、十二指肠大手术，非5天内死亡或转院，不伴并发症或合并症
GB17 食管、胃、十二指肠大手术，5天内死亡或转院
GB21 小肠、大肠（含直肠）的大手术，非5天内死亡或转院，伴严重并发症或合并症
GB23 小肠、大肠（含直肠）的大手术，非5天内死亡或转院，伴并发症或合并症
GB25 小肠、大肠（含直肠）的大手术，非5天内死亡或转院，不伴并发症或合并症
GB27 小肠、大肠（含直肠）的大手术，5天内死亡或转院
GC11 食管、胃、十二指肠其他手术，非5天内死亡或转院，伴严重并发症或合并症
GC13 食管、胃、十二指肠其他手术，非5天内死亡或转院，伴并发症或合并症
GC15 食管、胃、十二指肠其他手术，非5天内死亡或转院，不伴并发症或合并症
GC17 食管、胃、十二指肠其他手术，5天内死亡或转院
GC21 小肠、大肠（含直肠）的其他手术，伴严重并发症或合并症
GC25 小肠、大肠（含直肠）的其他手术，不伴严重并发症或合并症
GD19 伴穿孔、化脓、坏疽等阑尾切除术
GE21 疝其他手术，伴严重并发症或合并症
GE23 疝其他手术，伴并发症或合并症
GE25 疝其他手术，不伴并发症或合并症
GF29 直肠其他手术
GG19 腹腔／盆腔内粘连松解术
GJ11 消化系统其他手术，伴严重并发症或合并症
GJ13 消化系统其他手术，伴并发症或合并症
GJ15 消化系统其他手术，不伴并发症或合并症
GK19 消化系统其他内镜治疗操作
GK29 胃镜治疗操作
GK39 结肠镜治疗操作
GR11 消化系统恶性肿瘤，非5天内死亡或转院，伴严重并发症或合并症
GR13 消化系统恶性肿瘤，非5天内死亡或转院，伴并发症或合并症
GR15 消化系统恶性肿瘤，非5天内死亡或转院，不伴并发症或合并症
GR17 消化系统恶性肿瘤，5天内死亡或转院
GS11 胃肠出血，非5天内死亡或转院，伴严重并发症或合并症
GS13 胃肠出血，非5天内死亡或转院，伴并发症或合并症
GS15 胃肠出血，非5天内死亡或转院，不伴并发症或合并症
GS17 胃肠出血，5天内死亡或转院
GT11 炎症性肠病，伴严重并发症或合并症
GT13 炎症性肠病，伴并发症或合并症
GT15 炎症性肠病，不伴并发症或合并症
GU10 伴出血或穿孔的消化溃疡，年龄≤17岁
GU11 伴出血或穿孔的消化溃疡，年龄＞17岁，伴严重并发症或合并症
GU13 伴出血或穿孔的消化溃疡，年龄＞17岁，伴并发症或合并症
GU15 伴出血或穿孔的消化溃疡，年龄＞17岁，不伴并发症或合并症
GV10 消化道梗阻或腹痛，年龄≤17岁
GV11 消化道梗阻或腹痛，年龄＞17岁，伴严重并发症或合并症
GV13 消化道梗阻或腹痛，年龄＞17岁，伴并发症或合并症
GV15 消化道梗阻或腹痛，年龄＞17岁，不伴并发症或合并症
GW10 食管炎、胃肠炎，年龄≤17岁
GZ19 其他消化系统诊断
HB19 胰、肝切除和／或分流手术
HC19 胆囊切除术伴胆总管手术
HC29 胆总管手术
HC39 胆囊切除手术
HC49 除胆囊切除术以外的胆道手术
HJ19 与肝、胆或胰腺疾患有关的其他手术
HK19 食管曲张静脉出血的治疗性内镜操作
HL19 肝胆胰系统的诊断性操作
HL29 肝胆胰系统的治疗性操作
HR11 肝胆胰系统恶性肿瘤，非5天内死亡或转院，伴严重并发症或合并症
HR13 肝胆胰系统恶性肿瘤，非5天内死亡或转院，伴并发症或合并症
HR15 肝胆胰系统恶性肿瘤，非5天内死亡或转院，不伴并发症或合并症
HR17 肝胆胰系统恶性肿瘤，5天内死亡或转院
HS19 肝功能衰竭
HS21 肝硬化，伴严重并发症或合并症
HS25 肝硬化，不伴严重并发症或合并症
HS39 病毒性肝炎
HT11 急性胰腺炎，非5天内死亡或转院，伴严重并发症或合并症
HT13 急性胰腺炎，非5天内死亡或转院，伴并发症或合并症
HT15 急性胰腺炎，非5天内死亡或转院，不伴并发症或合并症
HT17 急性胰腺炎，5天内死亡或转院
HU11 急性胆道疾患，伴严重并发症或合并症
HU13 急性胆道疾患，伴并发症或合并症
HU15 急性胆道疾患，不伴并发症或合并症
HZ11 其他肝脏疾患，伴严重并发症或合并症
HZ13 其他肝脏疾患，伴并发症或合并症
HZ15 其他肝脏疾患，不伴并发症或合并症
HZ21 胆道其他疾患，伴严重并发症或合并症
HZ23 胆道其他疾患，伴并发症或合并症
HZ25 胆道其他疾患，不伴并发症或合并症
HZ31 胰腺其他疾患，伴严重并发症或合并症
HZ33 胰腺其他疾患，伴并发症或合并症
HZ35 胰腺其他疾患，不伴并发症或合并症
IB19 前后路联合脊柱融合术
IB29 脊柱融合手术
IB39 与脊柱有关的其他手术
IC19 髋、肩、膝、肘和踝关节假体翻修／修正手术
IC29 髋、肩、膝、肘和踝关节置换术
IC39 除置换／翻修外的髋、肩、膝、肘、踝的关节手术
ID11 小关节手术，伴严重并发症或合并症
ID13 小关节手术，伴并发症或合并症
ID15 小关节手术，不伴并发症或合并症
IE19 骨盆髋臼手术
IF19 上肢骨手术
IF29 手外科手术
IF39 股骨手术
IF49 除股骨以外的下肢骨手术
IG10 肌肉、肌腱手术，年龄≤17岁
IG19 肌肉、肌腱手术，年龄＞17岁
IH19 周围神经手术
IJ10 骨骼肌肉系统的其他手术，年龄≤17岁
IJ11 骨骼肌肉系统的其他手术，年龄＞17岁，伴严重并发症或合并症
IJ13 骨骼肌肉系统的其他手术，年龄＞17岁，伴并发症或合并症
IJ15 骨骼肌肉系统的其他手术，年龄＞17岁，不伴并发症或合并症
IR11 骨盆骨折，伴严重并发症或合并症
IR13 骨盆骨折，伴并发症或合并症
IR15 骨盆骨折，不伴并发症或合并症
IR21 股骨颈骨折，非5天内死亡或转院，伴严重并发症或合并症
IR23 股骨颈骨折，非5天内死亡或转院，伴并发症或合并症
IR25 股骨颈骨折，非5天内死亡或转院，不伴并发症或合并症
IR27 股骨颈骨折，5天内死亡或转院
IR31 股骨干及远端骨折，伴严重并发症或合并症
IR33 股骨干及远端骨折，伴并发症或合并症
IR35 股骨干及远端骨折，不伴并发症或合并症
IS10 前臂、腕、手或足损伤，年龄≤17岁
IS11 前臂、腕、手或足损伤，年龄＞17岁，伴严重并发症或合并症
IS13 前臂、腕、手或足损伤，年龄＞17岁，伴并发症或合并症
IS21 除前臂、腕、手足外的损伤，非5天内死亡或转院，伴严重并发症或合并症
IS23 除前臂、腕、手足外的损伤，非5天内死亡或转院，伴并发症或合并症
IS25 除前臂、腕、手足外的损伤，非5天内死亡或转院，不伴并发症或合并症
IS27 除前臂、腕、手足外的损伤，5天内死亡或转院
IT11 骨髓炎，伴严重并发症或合并症
IT13 骨髓炎，伴并发症或合并症
IT15 骨髓炎，不伴并发症或合并症
IT21 慢性炎症性肌肉骨骼结缔组织疾患，非5天内死亡或转院，伴严重并发症或合并症
IT23 慢性炎症性肌肉骨骼结缔组织疾患，非5天内死亡或转院，伴并发症或合并症
IT25 慢性炎症性肌肉骨骼结缔组织疾患，非5天内死亡或转院，不伴并发症或合并症
IT27 慢性炎症性肌肉骨骼结缔组织疾患，5天内死亡或转院
IT39 感染性关节炎
IU10 骨病及其他关节病，年龄≤17岁
IU11 骨病及其他关节病，年龄＞17岁，伴严重并发症或合并症
IU13 骨病及其他关节病，年龄＞17岁，伴并发症或合并症
IU15 骨病及其他关节病，年龄＞17岁，不伴并发症或合并症
IU21 颈腰背疾患，非5天内死亡或转院，伴严重并发症或合并症
IU23 颈腰背疾患，非5天内死亡或转院，伴并发症或合并症
IU27 颈腰背疾患，5天内死亡或转院
IU31 骨骼、肌肉、结缔组织恶性病损、病理性骨折，伴严重并发症或合并症
IU33 骨骼、肌肉、结缔组织恶性病损、病理性骨折，伴并发症或合并症
IU35 骨骼、肌肉、结缔组织恶性病损、病理性骨折，不伴并发症或合并症
IV13 除脊柱外先天性骨骼肌肉系统疾患，伴并发症或合并症
IV15 除脊柱外先天性骨骼肌肉系统疾患，不伴并发症或合并症
IZ19 肌肉骨骼系统植入物／假体的康复照护
IZ23 骨骼、肌肉、肌腱、结缔组织的其他疾患，伴并发症或合并症
IZ25 骨骼、肌肉、肌腱、结缔组织的其他疾患，不伴并发症或合并症
JA19 乳房恶性肿瘤根治性切除伴乳房重建术
JA29 乳房恶性肿瘤根治性切除术
JB19 乳房成型手术
JB29 乳腺切除手术
JB39 其他乳房手术
JC11 颜面及其他皮肤、皮下组织成型术，伴严重并发症与合并症
JC15 颜面及其他皮肤、皮下组织成型术，不伴严重并发症或合并症
JD11 皮肤移植手术，伴严重并发症或合并症
JD13 皮肤移植手术，伴并发症或合并症
JD15 皮肤移植手术，不伴并发症或合并症
JD29 皮肤清创手术
JJ10 皮肤、皮下组织的其他手术，年龄≤17岁
JJ11 皮肤、皮下组织的其他手术，年龄＞17岁，伴严重并发症或合并症
JJ13 皮肤、皮下组织的其他手术，年龄＞17岁，伴并发症或合并症
JJ15 皮肤、皮下组织的其他手术，年龄＞17岁，不伴并发症或合并症
JR19 乳房恶性肿瘤
JR29 皮肤、皮下组织的恶性肿瘤
JS11 重大皮肤疾患，伴严重并发症或合并症
JS13 重大皮肤疾患，伴并发症或合并症
JS15 重大皮肤疾患，不伴并发症或合并症
JS29 炎症性皮肤病
JT11 乳房、皮肤、皮下组织创伤，伴严重并发症或合并症
JT13 乳房、皮肤、皮下组织创伤，伴并发症或合并症
JU10 感染性皮肤病，年龄≤17岁
JU19 感染性皮肤病，年龄＞17岁
JV11 皮肤、皮下组织的非恶性增生性病变，伴严重并发症或合并症
JV13 皮肤、皮下组织的非恶性增生性病变，伴并发症或合并症
JV15 皮肤、皮下组织的非恶性增生性病变，不伴并发症或合并症
JV29 乳房良性病变
JZ10 其他皮肤及乳腺疾患，年龄≤17岁
JZ19 其他皮肤及乳腺疾患，年龄＞17岁
KB19 肾上腺手术
KC19 垂体手术
KD19 甲状腺大手术
KD29 甲状旁腺、甲状舌管及甲状腺其他手术
KE19 肥胖的手术室操作
KF19 因内分泌、营养、代谢疾患的植皮和／或清创术
KJ11 因内分泌、营养、代谢疾患的其他手术，伴严重并发症或合并症
KJ13 因内分泌、营养、代谢疾患的其他手术，伴并发症或合并症
KJ15 因内分泌、营养、代谢疾患的其他手术，不伴并发症或合并症
KR19 内分泌腺体恶性肿瘤
KS11 糖尿病，非5天内死亡或转院，伴严重并发症或合并症
KS13 糖尿病，非5天内死亡或转院，伴并发症或合并症
KS17 糖尿病，5天内死亡或转院
KT10 内分泌疾患，年龄≤17岁
KT11 内分泌疾患，年龄＞17岁，伴严重并发症或合并症
KT13 内分泌疾患，年龄＞17岁，伴并发症或合并症
KT15 内分泌疾患，年龄＞17岁，不伴并发症或合并症
KU11 营养失调，伴严重并发症或合并症
KU13 营养失调，伴并发症或合并症
KU15 营养失调，不伴并发症或合并症
KV19 先天性代谢异常
KZ11 其他代谢疾患，伴严重并发症或合并症
KZ13 其他代谢疾患，伴并发症或合并症
KZ15 其他代谢疾患，不伴并发症或合并症
LA19 肾、输尿管及膀胱恶性肿瘤的手术
LB19 除恶性肿瘤手术外的肾、输尿管、膀胱手术
LC19 肾、输尿管、膀胱其他手术
LD19 经尿道输尿管、膀胱手术
LE19 尿道手术
LF19 建立、设置、移除肾辅助装置
LJ11 泌尿系统其他手术，伴严重并发症或合并症
LJ13 泌尿系统其他手术，伴并发症或合并症
LJ15 泌尿系统其他手术，不伴并发症或合并症
LK19 泌尿道结石碎石
LL19 肾透析
LR11 肾功能不全，伴严重并发症或合并症
LR13 肾功能不全，伴并发症或合并症
LR15 肾功能不全，不伴并发症或合并症
LS11 肾炎及肾病，伴严重并发症或合并症
LS13 肾炎及肾病，伴并发症或合并症
LS15 肾炎及肾病，不伴并发症或合并症
LT11 肾及尿路肿瘤，伴严重并发症或合并症
LT13 肾及尿路肿瘤，伴并发症或合并症
LT15 肾及尿路肿瘤，不伴并发症或合并症
LU10 肾及尿路感染，年龄≤17岁
LU11 肾及尿路感染，年龄＞17岁，伴严重并发症或合并症
LU13 肾及尿路感染，年龄＞17岁，伴并发症或合并症
LV11 高血压／糖尿病性肾病，伴严重并发症或合并症
LV13 高血压／糖尿病性肾病，伴并发症或合并症
LV15 高血压／糖尿病性肾病，不伴并发症或合并症
LW11 肾、尿路体征及症状，伴严重并发症或合并症
LW13 肾、尿路体征及症状，伴并发症或合并症
LW15 肾、尿路体征及症状，不伴并发症或合并症
LX11 尿路结石、阻塞及尿道狭窄，伴严重并发症或合并症
LX13 尿路结石、阻塞及尿道狭窄，伴并发症或合并症
