A00.000 霍乱，由于O1群霍乱弧菌，霍乱生物型所致
A15.101 肺结核瘤，痰培养（+）
A15.102 肺干酪性结核，痰培养（+）
A15.103 结核性肺纤维变性，痰培养（+）
A15.104 结核性肺炎，痰培养（+）
A15.105 结核性气胸，痰培养（+）
A15.106 结核性支气管扩张，痰培养（+）
A15.107 空洞型肺结核，痰培养（+）
A15.200 肺结核，经组织学所证实
A15.200x001 肺结核（组织学证实）
A15.200x002 结核性损毁肺（组织学+）
A15.201 肺结核瘤，病理（+）
A15.202 肺干酪性结核，病理（+）
A15.203 结核性肺纤维变性，病理（+）
A15.204 结核性肺炎，病理（+）
A15.205 结核性气胸，病理（+）
A15.206 结核性支气管扩张，病理（+）
A15.207 空洞型肺结核，病理（+）
A15.300 肺结核，经证实的
A15.300x001 肺结核（分子诊断证实）
A15.301 肺结核瘤经证实（+）
A15.302 肺干酪性结核经证实（+）
A15.303 结核性肺纤维变性经证实（+）
A15.304 结核性肺炎经证实（+）
A15.305 结核性气胸经证实（+）
A15.306 结核性支气管扩张经证实（+）
A15.307 空洞型肺结核经证实（+）
A15.400 胸腔内淋巴结结核，经细菌学和组织学所证实
A15.400x001 肺门淋巴结结核（细菌学和组织学证实）
A15.401 肺门淋巴结结核，病理（+）
A15.402 气管支气管淋巴结结核，细菌学（+）
A15.403 气管支气管淋巴结结核，病理（+）
A15.404 胸内淋巴结结核，细菌学（+）
A15.405 胸内淋巴结结核，病理（+）
A15.406 纵隔淋巴结结核，细菌学（+）
A15.407 纵隔淋巴结结核，病理（+）
A15.408 支气管淋巴结结核，细菌学（+）
A15.409 支气管淋巴结结核，病理（+）
A15.500 喉、气管和支气管结核，经细菌学和组织学所证实
A15.500x001 喉结核（细菌学和组织学证实）
A15.500x002 气管结核（细菌学和组织学证实）
A15.500x003 支气管结核（细菌学和组织学证实）
A15.500x004 声带结核（细菌学和组织学证实）
A15.500x010 支气管结核（初治,单耐药）涂阳培阳
A15.500x011 支气管结核（初治,单耐药）涂阴培阳
A15.500x012 支气管结核（初治,多耐药）涂阳培阳
A15.500x013 支气管结核（初治,多耐药）涂阴培阳
A15.500x014 支气管结核（初治,广泛耐药）涂阳培阳
A15.500x015 支气管结核（初治,广泛耐药）涂阴培阳
A15.500x016 支气管结核（初治,耐多药）涂阳培阳
A15.500x017 支气管结核（初治,耐多药）涂阴培阳
A15.500x018 支气管结核（初治,药物敏感）涂阳培阳
A15.500x019 支气管结核（初治,药物敏感）涂阴培阳
A15.500x020 支气管结核（复治,单耐药）涂阳培阳
A15.500x021 支气管结核（复治,单耐药）涂阴培阳
A15.500x022 支气管结核（复治,多耐药）涂阳培阳
A15.500x023 支气管结核（复治,多耐药）涂阴培阳
A15.500x024 支气管结核（复治,广泛耐药）涂阳培阳
A15.500x025 支气管结核（复治,广泛耐药）涂阴培阳
A15.500x026 支气管结核（复治,耐多药）涂阳培阳
A15.500x027 支气管结核（复治,耐多药）涂阴培阳
A15.500x028 支气管结核（复治,药物敏感）涂阳培阳
A15.500x029 支气管结核（复治,药物敏感）涂阴培阳
A15.501 喉结核，病理（+）
A15.502 会厌结核，细菌学（+）
A15.503 会厌结核，病理（+）
A15.504 声带结核，细菌学（+）
A15.505 声带结核，病理（+）
A15.506 气管结核，细菌学（+）
A15.507 气管结核，病理（+）
A15.508 支气管结核，细菌学（+）
A15.509 支气管结核，病理（+）
A15.600 结核性胸膜炎，经细菌学和组织学所证实
A15.601 结核性胸膜炎，病理（+）
A15.602 结核性脓胸，细菌学（+）
A15.603 结核性脓胸，病理（+）
A15.604 结核性胸腔积液，细菌学（+）
A15.605 结核性胸腔积液，病理（+）
A15.606 结核性渗出性胸膜炎，细菌学（+）
A15.607 结核性渗出性胸膜炎，病理（+）
A15.608 胸膜结核瘤，细菌学（+）
A15.609 胸膜结核瘤，病理（+）
A15.700 原发性呼吸道结核，经细菌学和组织学所证实
A15.701 原发性呼吸道结核，病理（+）
A15.702 肺原发性结核性复征，细菌学（+）
A15.703 肺原发性结核性复征，病理（+）
A15.800 呼吸道结核，经细菌学和组织学所证实，其他的
A15.800x001 鼻咽结核性肉芽肿（组织学证实）
A15.801 结核性鼻窦炎，细菌学（+）
A15.802 结核性鼻窦炎，病理（+）
A15.803 鼻中隔结核，细菌学（+）
A15.804 鼻中隔结核，病理（+）
A15.805 鼻咽结核，细菌学（+）
A15.806 鼻咽结核，病理（+）
A15.807 鼻结核，细菌学（+）
A15.808 鼻结核，病理（+）
A15.809 扁桃体结核，细菌学（+）
A15.810 扁桃体结核，病理（+）
A15.811 咽部结核，细菌学（+）
A15.812 咽部结核，病理（+）
A15.813 纵隔结核，细菌学（+）
A15.814 纵隔结核，病理（+）
A15.900 呼吸道结核，经细菌学和组织学所证实的
A15.901 呼吸道结核，病理（+）
A16.000 肺结核，细菌学和组织学检查为阴性
A16.000x001 肺结核（细菌学和组织学检查为阴性）
A16.000x002 支气管结核（细菌学和组织学证实均阴性）
A16.001 肺结核瘤，痰镜检（-）
A16.002 结核性肺炎，痰镜检（-）
A16.003 结核性肺纤维变性，痰镜检（-）
A16.004 结核性气胸，痰镜检（-）
A16.005 结核性支气管扩张，痰镜检（-）
A16.006 肺干酪性结核，痰镜检（-）
A16.007 空洞型肺结核，痰镜检（-）
A16.008 浸润型肺结核，痰镜检（-）
A16.009 增殖型肺结核，痰镜检（-）
A16.010 肺结核，痰培养（-）
A16.011 肺结核瘤，痰培养（-）
A16.012 结核性肺炎，痰培养（-）
A16.013 结核性肺纤维变性，痰培养（-）
A16.014 结核性气胸，痰培养（-）
A16.015 结核性支气管扩张，痰培养（-）
A16.016 肺干酪性结核，痰培养（-）
A16.017 空洞型肺结核，痰培养（-）
A16.018 浸润型肺结核，痰培养（-）
A16.019 增殖型肺结核，痰培养（-）
A16.020 肺结核，病理（-）
A16.021 肺结核瘤，病理（-）
A16.022 结核性肺炎，病理（-）
A16.023 结核性肺纤维变性，病理（-）
A16.024 结核性气胸，病理（-）
A16.025 结核性支气管扩张，病理（-）
A16.026 肺干酪性结核，病理（-）
A16.027 空洞型肺结核，病理（-）
A16.028 浸润型肺结核，病理（-）
A16.029 增殖型肺结核，病理（-）
A16.030 肺结核瘤，细胞学（组织学）（-）
A16.031 结核性肺炎，细胞学（组织学）（-）
A16.032 结核性肺纤维变性，细胞学（组织学）（-）
A16.033 结核性气胸，细胞学（组织学）（-）
A16.034 结核性支气管扩张，细胞学（组织学）（-）
A16.035 肺干酪性结核，细胞学（组织学）（-）
A16.036 空洞型肺结核，细胞学（组织学）（-）
A16.037 浸润型肺结核，细胞学（组织学）（-）
A16.038 增殖型肺结核，细胞学（组织学）（-）
A16.100 肺结核，未做细菌学和组织学检查
A16.100x001 肺结核（未行细菌学和组织学检查）
A16.101 肺结核瘤，未做细菌学和组织学检查
A16.102 结核性肺炎，未做细菌学和组织学检查
A16.103 结核性肺纤维变性，未做细菌学和组织学检查
A16.104 结核性气胸，未做细菌学和组织学检查
A16.105 结核性支气管扩张，未做细菌学和组织学检查
A16.106 肺干酪性结核，未做细菌学和组织学检查
A16.107 空洞型肺结核，未做细菌学和组织学检查
A16.108 浸润型肺结核，未做细菌学和组织学检查
A16.109 增殖型肺结核，未做细菌学和组织学检查
A16.200 肺结核，未提及细菌学或组织学的证实
A16.200x002 肺结核
A16.200x007 结节型肺结核
A16.200x012 结核性胸膜瘘
A16.200x013 结核性损毁肺
A16.200x014 结核性大咯血
A16.200x015 继发性肺结核
A16.201 肺结核瘤
A16.202 结核性肺炎
A16.203 结核性肺纤维变性
A16.204 结核性气胸
A16.205 结核性支气管扩张
A16.206 肺干酪性结核
A16.207 空洞型肺结核
A16.210 结核性肺不张
A16.300 胸腔内淋巴结结核，未提及细菌学或组织学的证实
A16.300x002 结核性支气管淋巴瘘
A16.300x003 胸壁淋巴结结核
A16.300x007 结核性乳糜胸
A16.301 肺门淋巴结结核
A16.302 胸内淋巴结结核
A16.303 气管支气管淋巴结结核
A16.304 支气管淋巴结结核
A16.305 纵隔淋巴结结核
A16.400 喉、气管和支气管结核，未提及细菌学或组织学的证实
A16.400x005 孤立性气管支气管结核
A16.400x010 结核性气管狭窄
A16.400x011 结核性支气管狭窄
A16.401 会厌结核
A16.402 气管结核
A16.403 声带结核
A16.405 结核性支气管胸膜瘘
A16.406 喉结核
A16.500 结核性胸膜炎，未提及细菌学或组织学的证实
A16.500x001 结核性干性胸膜炎
A16.500x004 结核性胸膜炎
A16.500x008 结核性胸膜炎（初治）
A16.500x009 结核性胸膜炎（复治）
A16.500x010 结核性包裹性脓胸
A16.501 结核性脓胸
A16.503 结核性渗出性胸膜炎
A16.504 胸膜结核瘤
A16.505 结核性脓气胸
A16.700 原发性呼吸道结核，未提及细菌学或组织学的证实
A16.700x001 肺结核原发综合征
A16.700x002 原发性肺结核
A16.800 呼吸道结核，未提及细菌学或组织学的证实，其他的
A16.800x002 干酪性鼻窦炎
A16.800x003 干酪性鼻炎[结核性鼻炎]
A16.801 结核性鼻窦炎
A16.802 鼻中隔结核
A16.803 鼻咽结核
A16.804 鼻结核
A16.805 扁桃体结核
A16.806 咽部结核
A16.807 纵隔结核
A16.900 呼吸道结核
A16.900x001 结核病
A16.900x002 结核感染
A16.900x003 呼吸道结核病
A16.900x023 结核性胸壁窦
A17.000+G01* 结核性脑膜炎
A17.000x001+G05.0* 结核性脊膜炎
A17.000x005+G01* 蛛网膜结核病
A17.000x006+G01* 结核性脑膜粘连
A17.001+G01* 结核性脑脊髓膜炎
A17.100+G07* 脑膜结核瘤
A17.100x001+G07* 脑脊膜结核瘤
A17.800 神经系统的其他结核
A17.800x007+G05.0* 结核性脊髓脊膜炎
A17.801+G07* 脑结核瘤
A17.802+G07* 结核性脑肉芽肿
A17.803+G05.0* 结核性脑膜脑炎
A17.804+G05.0* 结核性脑炎
A17.805+G07* 结核性脑脓肿
A17.806+G07* 脊髓结核
A17.807+G94.0* 结核性脑积水
A17.900+G99.8* 神经系统结核
A17.900x001+G99.8* 中枢神经系统结核
A18.000 骨和关节的结核
A18.000x002+M90.0* 腭骨结核
A18.000x003+M90.0* 颌骨结核
A18.000x004+H75.0* 乳突结核
A18.000x006+M90.0* 颧骨结核
A18.000x015+M01.1* 结核性风湿病[篷塞病]
A18.000x018+M49.0* 脊椎结核并椎旁脓肿
A18.000x019+M01.1* 关节寒性脓肿[关节结核脓肿]
A18.000x034+M90.0* 肢体骨结核
A18.000x035+M90.0* 骨结核病
A18.000x042+M90.0* 第三楔骨结核
A18.000x046+M68.0* 结核性滑膜炎
A18.000x047+M49.0* 结核性脊柱前凸
A18.000x048+M49.0* 结核性脊柱侧弯
A18.000x049+M49.0* 脊柱骨脓肿[结核性脊柱骨脓肿]
A18.000x053+M01.1* 胸锁关节结核
A18.000x057+M49.0* 骶骨结核
A18.000x058+M68.0* 腱鞘结核
A18.000x060+M90.0* 胸骨结核
A18.000x062+M68.0* 结核性腱鞘炎
A18.000x063+M90.0* 结核性骨炎
A18.000x064+M90.0* 结核性骨髓炎
A18.000x065+M90.0* 结核性骨坏死
A18.000x066+M49.0* 颈椎结核性截瘫
A18.000x067+M90.0* 骨髓结核
A18.001+M90.0* 骨结核
A18.002+M01.1* 关节结核
A18.003+M90.0* 鼻骨结核
A18.004+M90.0* 下颌结核
A18.005+M49.0* 颈椎结核
A18.006+M49.0* 胸椎结核
A18.007+M49.0* 腰椎结核
A18.008+M90.0* 腰椎结核性窦道
A18.009+M49.0* 脊柱结核
A18.010+M49.0* 脊柱结核性脓肿
A18.011+M49.0* 结核性脊柱后凸
A18.012+M49.0* 脊柱结核性截瘫
A18.013+M49.0* 结核性脊柱裂
A18.014+M90.0* 肋骨结核
A18.015+M90.0* 耻骨结核
A18.016+M90.0* 肱骨结核
A18.017+M90.0* 桡骨结核
A18.018+M90.0* 尺骨结核
A18.019+M90.0* 掌骨结核
A18.020+M90.0* 指骨结核
A18.021+M90.0* 股骨结核
A18.022+M90.0* 胫骨结核
A18.023+M90.0* 腓骨结核
A18.024+M90.0* 跟骨结核
A18.025+M90.0* 楔骨结核
A18.026+M90.0* 趾骨结核
A18.027+M01.1* 肩关节结核
A18.028+M01.1* 肘关节结核
A18.029+M01.1* 腕关节结核
A18.030+M01.1* 指关节结核
A18.031+M01.1* 髋关节结核
A18.032+M49.0* 骶髂关节结核
A18.033+M01.1* 髋关节结核性滑膜炎
A18.034+M01.1* 膝关节结核
A18.035+M01.1* 膝关节结核性滑膜炎
A18.036+M01.1* 踝关节结核
A18.037+M01.1* 跖趾关节结核
A18.038+M01.1* 趾关节结核
A18.039+M01.1* 关节结核性风湿病
A18.040+M01.1* 关节结核性窦道
A18.041+M68.0* 滑膜结核
A18.042+M68.0* 肌腱结核
A18.043+M01.1* 关节结核性脓肿
A18.044+M01.1* 结核性关节炎
A18.100 泌尿生殖系统的结核
A18.100x018+N51.8* 精囊结核
A18.100x019+N77.1* 外阴结核
A18.100x020+N51.8* 阴囊结核
A18.100x021+N37.8* 结核性会阴瘘
A18.100x022+N37.8* 结核性尿道瘘
A18.100x024+N74.1* 结核性直肠阴道瘘
A18.100x025+N29.1* 结核性肾盂炎
A18.100x026+N74.1* 结核性输卵管炎
A18.100x030+N77.0* 结核性外阴溃疡
A18.100x031 男性盆腔结核
A18.100x032 结核性盆腔炎
A18.101 泌尿系统结核
A18.102 生殖系统结核
A18.103+N29.1* 肾结核
A18.104+N29.1* 结核性肾脓肿
A18.105+N29.1* 结核性肾盂积水
A18.106+N29.1* 输尿管结核
A18.107+N29.1* 结核性输尿管狭窄
A18.108+N33.0* 膀胱结核
A18.109+N51.0* 前列腺结核
A18.110+N51.8* 输精管结核
A18.111+N74.1* 子宫内膜结核
A18.112+N74.0* 子宫颈结核
A18.113+N74.1* 输卵管结核
A18.114+N74.1* 卵巢结核
A18.115+N74.1* 女性盆腔结核
A18.116+N51.8* 结核性阴囊瘘
A18.117+N51.1* 睾丸结核
A18.118+N51.1* 附睾结核
A18.119+N51.8* 阴茎结核
A18.200 结核性周围淋巴结病
A18.200x002 颌下淋巴结结核
A18.200x005 颏下淋巴结结核
A18.200x006 淋巴结结核
A18.200x010 周围淋巴结结核
A18.201 头颈部结核性淋巴结炎
A18.202 颊淋巴结结核
A18.203 腮腺淋巴结结核
A18.205 颈淋巴结结核
A18.206 锁骨上淋巴结结核
A18.207 腋下淋巴结结核
A18.208 食管旁淋巴结结核
A18.209 闭孔淋巴结结核
A18.210 腹股沟淋巴结结核
A18.211 结核性淋巴管炎
A18.212 全身多发淋巴结结核
A18.300 肠、腹膜和肠系膜淋巴结的结核
A18.300x006+K67.3* 髂窝结核
A18.300x009+K93.0* 腹腔结核
A18.300x013+K93.0* 结核性胃结肠瘘
A18.300x014+K93.0* 结核性直肠瘘
A18.300x015+K93.0* 膈下结核性脓肿
A18.300x016 腹膜后结核
A18.301 肝门淋巴结结核
A18.302+K93.0* 阑尾结核
A18.303+K93.0* 肠结核
A18.304+K93.0* 结核性肠炎
A18.305+K93.0* 结肠结核瘤
A18.306+K93.0* 结核性肛瘘
A18.307+K93.0* 肛周结核
A18.308 腹腔淋巴结结核
A18.309 结核性腹腔积液
A18.310 腹膜后淋巴结结核
A18.311+K93.0* 腹膜结核
A18.312+K93.0* 腹部结核性脓肿
A18.313+K93.0* 腹部结核性窦道
A18.314+K67.3* 结核性腹膜炎
A18.315+K93.0* 肠系膜结核
A18.316+K93.0* 肠系膜淋巴结结核
A18.317 髂窝结核性脓肿
A18.318 髂窝淋巴结结核
A18.400 皮肤和皮下组织的结核
A18.400x001 播散性粟粒性狼疮
A18.400x006 酒渣样结核疹
A18.400x010 臀部结核
A18.400x013 皮肤结核溃疡
A18.400x014 疣状皮肤结核
A18.400x018 外耳道结核
A18.400x019 中耳结核
A18.400x020 腰部结核性脓肿
A18.400x021 足结核
A18.400x022 肩部结核
A18.401 皮肤结核
A18.402 皮下组织结核
A18.403 皮肤结核性窦道
A18.404 瘰疬性皮肤结核
A18.405 结核性皮肤脓肿
A18.406 腹壁结核
A18.407 皮下组织结核性窦道
A18.408 结核性结节性红斑
A18.409 结核性狼疮
A18.410 寻常性狼疮
A18.411 巴赞病
A18.412 胸壁结核
A18.500 眼结核
A18.500x002 眼眶结核
A18.500x005+H32.0* 结核性视网膜脉络膜炎
A18.500x008+H13.1* 结膜结核
A18.500x010+H32.0* 脉络膜结核瘤
A18.500x013+H22.0* 结核性虹膜睫状体炎
A18.501+H32.0* 视网膜结核
A18.502+H32.0* 脉络膜结核
A18.503+H48.8* 视神经结核
A18.504+H22.0* 葡萄膜结核
A18.506+H19.2* 角膜结核
A18.507+H19.0* 巩膜结核
A18.600 耳结核
A18.601+H67.0* 结核性中耳炎
A18.700+E35.1* 肾上腺结核
A18.700x002+E35.1* 结核性艾迪生病
A18.800 器官的结核，其他特指的
A18.800x001 肺外结核
A18.800x006+K93.8* 唇结核
A18.800x010+M63.0* 肌结核
A18.800x014+K23.0* 食管结核
A18.800x022+M63.0* 上臂内侧横纹肌结核
A18.800x025+K93.8* 牙龈结核
A18.800x027+M63.0* 腰大肌结核性脓肿
A18.800x028+M63.0* 腰肌结核
A18.800x034+K93.8* 结核性口腔溃疡
A18.801+E35.8* 垂体结核
A18.802+K93.8* 舌结核
A18.803+M63.0* 咀嚼肌结核
A18.804+K93.8* 腮腺结核
A18.805+K93.8* 颌下腺结核
A18.806+E35.0* 甲状腺结核
A18.807+K23.0* 结核性食管炎
A18.808+I32.0* 结核性心包炎
A18.809+I32.0* 结核性心包积液
A18.810+M63.0* 胸大肌结核
A18.811 乳腺结核
A18.812+K93.8* 胃结核
A18.813+D77* 脾结核
A18.814+K77.0* 肝结核
A18.815+K87.0* 胆管结核
A18.816+K87.0* 胆囊结核
A18.817+K87.1* 胰腺结核
A18.818+I79.8* 结核性腹主动脉炎
A18.819+M36.8* 结缔组织结核
A18.820+I39.8* 心内膜结核
A18.821+I41.0* 心肌结核
A18.822+I68.1* 结核性脑动脉炎
A19.000 单个特指部位的急性粟粒型结核
A19.000x001 血行播散性肺结核（初治,单耐药）涂阳培阳
A19.000x002 血行播散性肺结核（初治,单耐药）涂阴培阳
A19.000x003 血行播散性肺结核（初治,多耐药）涂阳培阳
A19.000x004 血行播散性肺结核（初治,多耐药）涂阴培阳
A19.000x005 血行播散性肺结核（初治,广泛耐药）涂阳培阳
A19.000x006 血行播散性肺结核（初治,广泛耐药）涂阴培阳
A19.000x007 血行播散性肺结核（初治,耐多药）涂阳培阳
